"DataCatalog_id","Name","Acronym","Description","URL","Type","Language Supported","Periodicity","Economy Coverage","Granularity","List of Countries/Regions/Sub-National Admins","Number of Economies","Data Notes","Topics","Update Frequency","Update Schedule","Last Revision Date","Contact Details","Access Option","Bulk Download","API","Attribution/citation","SourceURL","DetailPageURL","Coverage","APIAccessURL"
"34.0","Knowledge Economy Index","KEI","109 structural and qualitative variables for 146 countries to measure their performance on four Knowledge Economy pillars: Economic Incentive and Institutional Regime, Education, Innovation, and Information and Communications Technologies. ","http://www.worldbank.org/kam","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","146.0","","Economic Policy & External Debt, Education, Science & Technology","Annually","May","May, 2010","ke@worldbank.org","Query tool","","0.0","Knowledge Economy Index, World Bank Group","","http://data.worldbank.org/data-catalog/KEI","1995 - 2009",""
"35.0","Temporary Trade Barriers Database including the Global Antidumping Database","TTBD","The Temporary Trade Barriers Database (TTBD) website hosts newly collected, freely available, and detailed data on more than thirty different national governments’ use of policies such as antidumping (AD), global safeguards (SG), China-specific transitional safeguard (CSG) measures, and countervailing duties (CVD). The information provided in this detailed data base will cover over 95% of the global use of these particular import-restricting trade remedy instruments. ","http://econ.worldbank.org/ttbd/","Cross sectional","English","Quarter","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","Other","","42.0","Data for Taiwan, China are available.","Economic Policy & External Debt","No fixed schedule","","May, 2012","cbown@worldbank.org","Query tool","","0.0","Bown, Chad P. (2012) ""Temporary Trade Barriers Database,” available at http://econ.worldbank.org/ttbd/","","http://data.worldbank.org/data-catalog/temporary-trade-barriers-database","1980 - 2011",""
"36.0","GDP ranking","GDP","Gross domestic product ranking table.","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","Year to year changes in the nominal level of output or income of an economy are affected by a combination of forces: real growth, price inflation, and exchange rates. Changes in any of the three can affect an economy's relative size and, therefore, its ranking in comparison to other economies. Of the rankings presented here, nominal GDP, perhaps the most familiar measure of aggregate economic activity, is most subject to price and exchange rate effects. Rankings are based on available data only.","Economic Policy & External Debt","Quarterly","April, July, September, December ","41540.0","data@worldbank.org","Bulk download","GDP (Excel)=http://databank.worldbank.org/data/download/GDP.xls=excel;GDP (CSV)=http://databank.worldbank.org/data/download/GDP.csv=csv;GDP (PDF)=http://databank.worldbank.org/data/download/GDP.pdf=pdf","0.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/GDP-ranking-table","2011 - 2011",""
"37.0","GDP ranking, PPP based","GDP PPP","Gross domestic product ranking table based on purchasing power parity (PPP)","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","Year to year changes in the nominal level of output or income of an economy are affected by a combination of forces: real growth, price inflation, and exchange rates. Changes in any of the three can affect an economy's relative size and, therefore, its ranking in comparison to other economies. The PPP method eliminates the effects of differences and changes in relative price levels, particularly non-tradables, and therefore provides a better overall measure of the real value of output produced by an economy compared to other economies. Rankings are based on available data only.","Economic Policy & External Debt","Quarterly","April, July, September, December ","41540.0","data@worldbank.org","Bulk download","GDP, PPP (Excel)=http://databank.worldbank.org/data/download/GDP_PPP.xls=excel;GDP, PPP (CSV)=http://databank.worldbank.org/data/download/GDP_PPP.csv=csv;GDP, PPP (PDF)=http://databank.worldbank.org/data/download/GDP_PPP.pdf=pdf","0.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/GDP-PPP-based-table","2011 - 2011",""
"38.0","GNI ranking, Atlas method","GNI","Gross national income ranking table based on the World Bank Atlas method.","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","Year to year changes in the nominal level of output or income of an economy are affected by a combination of forces: real growth, price inflation, and exchange rates. Changes in any of the three can affect an economy's relative size and, therefore, its ranking in comparison to other economies. The Atlas method dampens variability caused by fluctuations in exchange rates. Rankings are based on all World Development Indicators economies.  Economies with missing data are implictly included in the rankings at their approximate level so that the relative order of other economies remains consistent. ","Economic Policy & External Debt","Quarterly","April, July, September, December ","41540.0","data@worldbank.org","Bulk download","GNI Atlas (Excel)=http://databank.worldbank.org/data/download/GNI.xls=excel;GNI Atlas (CSV)=http://databank.worldbank.org/data/download/GNI.csv=csv;GNI Atlas (PDF)=http://databank.worldbank.org/data/download/GNI.pdf=pdf","0.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/GNI-Atlas-method-table","2011 - 2011",""
"39.0","GNI per capita ranking, Atlas method and PPP based","GNIPC","Gross national income per capita ranking table based on the World Bank Atlas method and purchasing power parity (PPP).","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","Year to year changes in the nominal level of output or income of an economy are affected by a combination of forces: real growth, price inflation, and exchange rates. Changes in any of the three can affect an economy's relative size and, therefore, its ranking in comparison to other economies. The Atlas method dampens variability caused by fluctuations in exchange rates, while the PPP method eliminates the effects of differences and changes in relative price levels, particularly non-tradables, and therefore provides a better overall measure of the real value of output produced by an economy compared to other economies. Per capita valuations can also be affected by revised population estimates. Rankings are based on all World Development Indicators economies.  Economies with missing data are implictly included in the rankings at their approximate level so that the relative order of other economies remains consistent. ","Economic Policy & External Debt","Quarterly","April, July, September, December ","41540.0","data@worldbank.org","Bulk download","GNI, Atlas and PPP (Excel)=http://databank.worldbank.org/data/download/GNIPC.xls=excel;GNI, Atlas and PPP (CSV)=http://databank.worldbank.org/data/download/GNIPC.csv=csv;GNI, Atlas and PPP (PDF)=http://databank.worldbank.org/data/download/GNIPC.pdf","0.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/GNI-per-capita-Atlas-and-PPP-table","2011 - 2011",""
"40.0","Manufactures Unit Value Index","MUV Index","A proxy for the price of developing country imports of manufactures in U.S. dollar terms, used to assess cost escalation for imported goods. Update twice a year, the index is a weighted average of export prices of manufactured goods for the G-5 economies, with local-currency based prices converted into current U.S. dollars using market exchange rates. Contains historical data from 1960 through 2007 and projections through 2020. ","http://go.worldbank.org/DZLIAJ2730","Time series","English","Annual","WLD","Other","","","Projections up to 2020 are available.","Economic Policy & External Debt","Quarterly","","November, 2010","data@worldbank.org","Query tool","","0.0","Manufactures Unit Value Index, World Bank Group","","http://data.worldbank.org/data-catalog/MUV-index","1960 - 2009",""
"41.0","World Bank Policy Research Working Papers","","A collection of policy research working papers, policy research reports, and world development reports in the World Bank's Archives. ","http://go.worldbank.org/66A7ZD0GB0","","English","","EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","","","","","Poverty","Daily","","Current","","Query tool","","0.0","Development Economics Research Group, The World Bank","","http://data.worldbank.org/data-catalog/WB-policy-research-working-papers","",""
"42.0","Household Survey Education Profiles","","Household Survey Education Profiles are reports organized into four categories: school participation, progression, attainment, and education expenditure. ","http://go.worldbank.org/R8XD26F8X0","Survey(Microdata)","English","","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","Household","","","","Education","","","","","Query tool","","0.0","Household Survey Education Profiles, World Bank Group","","http://data.worldbank.org/data-catalog/household-survey-ed-profiles","",""
"43.0","Rural Access Index (RAI)","","RAI is a key transport headline indicator and has been established to focus on the critical role of access and mobility in the reduction of poverty in developing countries. ","","Cross sectional","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National","","209.0","","Agriculture & Rural Development, Infrastructure","No further updates planned","","2006.0","","Bulk download","RAI Data (70kb)=http://data.worldbank.org/sites/default/files/data/rai-updated-modelbasedscores5-20070305.xls=excel","0.0","Rural Access Index, World Bank Group","","http://data.worldbank.org/data-catalog/rural-access-index","",""
"44.0","Business Environment Snapshots","","A one-stop guide to business environment indicators, laws, and World Bank Group project information for 183 countries. ","http://rru.worldbank.org/besnapshots","Time series","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National;Regional","","","","Private Sector","","","","","Query tool","","0.0","Business Environment Snapshots, World Bank Group","","http://data.worldbank.org/data-catalog/business-environment-snapshots","",""
"46.0","Environment At-a-Glance Factsheets","","The factsheets contain information covering topics such as Agriculture (eg., fertilizer consumption), Biodiversity (eg., known bird species) to Environmental Health (eg., air pollution damages). ","http://go.worldbank.org/MDXNK51HB0","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","","","Environment","","","","","Query tool","","0.0","Environment At-a-Glance Factsheets, World Bank Group","","http://data.worldbank.org/data-catalog/country-environmental-factsheets","",""
"48.0","Environmental Accounting - Adjusted Net Savings","","Adjusted net saving is an indicator of the sustainability of an economy. It measures changes in wealth from one year to the next by looking at increases in produced capital (through investments), depletion of natural resources (e.g. through the extraction of oil or timber from forests), investments in human capital (e.g. through education) and damages to health caused by pollution.","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","210.0","","Environment","No fixed schedule","","","","Bulk download","ANS by Country (1.5Mb)=http://siteresources.worldbank.org/EXTEEI/Resources/ANS_time_series_by_country_1970to2008.xls=excel","0.0","Environmental Accounting - Adjusted Net Savings, World Bank Group","","http://data.worldbank.org/data-catalog/environmental-accounting","1970 - 2008",""
"50.0","Education Tables","","Education tables provide a snapshot look at a variety of relevant socioeconomic, education and finance indicators for a group of developing countries. ","http://go.worldbank.org/JVXVANWYY0","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","","","Education","Annually","July","","","Query tool","","0.0","Education Tables, World Bank Group","","http://data.worldbank.org/data-catalog/education-tables","",""
"51.0","Health Nutrition Population (HNP) Lending","","This dataset presents World Bank's IBRD/IDA lending for Health, Nutrition and Population (HNP) for the fiscal years 1970-2012.","http://datatopics.worldbank.org/hnp/worldbanklending","Time series","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","Regional","","","","Health","Annually","April","","data@worldbank.org","Query tool","","0.0","HealthStats, World Bank Group","","http://data.worldbank.org/data-catalog/HNP-table-lending","1970 - 2012",""
"52.0","Population Estimates and Projections","","This database presents population  and other demographic estimates and projections from 1960 to 2050. They are disaggregated by age-group and gender and cover approximately 200 economies.","http://datatopics.worldbank.org/hnp/popestimates","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","","","Health","Biannually","April (all data), July (population data)","41463.0","data@worldbank.org","Bulk download, Query tool","New Sectoral Commitments by FY & Region (37Kb)=http://datatopics.worldbank.org/hnp/files/lending/HNPSlendC-HNPStats.xls=Excel;New Approvals by FY & Region (35Kb)=http://datatopics.worldbank.org/hnp/files/lending/HNPSlLendNP-HNPStats.xls=Excel;New Lending by Theme & Region (40Kb)=http://datatopics.worldbank.org/hnp/files/lending/HNPThemeCommits-HNPStats.xls=Excel","0.0","HealthStats, World Bank Group","","http://data.worldbank.org/data-catalog/population-projection-tables","",""
"53.0","Thematic Health Nutrition Population (HNP) Data","","Thematic HNP data covers indicators on  themes such as population dynamics, nutrition, reproductive health, health financing, health workforce and health facilities use, immunization, malaria and tuberculosis, HIV/AIDS, by country and income/regional groups for 1990, 2000, 2010 and the most recent year available.","http://datatopics.worldbank.org/hnp/ThematicData","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","","","Health, Social Development","Annually","April","41365.0","data@worldbank.org","Query tool","","0.0","HealthStats, World Bank Group","","http://data.worldbank.org/data-catalog/thematic-HNP-data","1990 - 2011",""
"54.0","Millennium Development Goals Tables","MDG Tables","Millennium Development Goals tables provide data for MDG indicators from 1990 to the most recent year available in five year increments.","http://ddp.worldbank.org/ddp/ViewSharedReport?REPORT_ID=1336&REQUEST_TYPE=VIEWADVANCED","Time series","English","Annual","WLD","National;Regional","","214.0","","Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development","Quarterly","April, July, September, December","41548.0","data@worldbank.org","Query tool","","0.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/MDGs-tables","1990 - 2011",""
"55.0","Country Profiles","CP","Country profiles present the latest key development data drawn from the World Development Indicators (WDI) database, the World Bank's primary database for cross-country comparable development data.","http://data.worldbank.org/data-catalog/country-profiles","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","214.0","","Agriculture & Rural Development, Aid Effectiveness, Climate Change, Economic Policy & External Debt, Education, Energy & Mining, Environment, Financial Sector, Gender, Health, Infrastructure, Labor & Social Protection, Poverty, Private Sector, Public Sector, Science & Technology, Social Development, Urban Development","Quarterly","April, July, September, December","41540.0","data@worldbank.org","Query tool","","0.0","World Development Indicators, The World Bank","","http://data.worldbank.org/data-catalog/country-profiles","2000 - 2011",""
"56.0","World Bank Projects & Operations","","World Bank Projects & Operations provides access to basic information on all of the World Bank's lending projects from 1947 to the present. The dataset includes basic information such as the project title, task manager, country, project id, sector, themes, commitment amount, product line, and financing. It also provides links to publicly disclosed online documents. For older projects, there is a link to the Archives catalog, which contains records of older documents. Where available, there are also links to contract awards since July 2000. ","http://www.worldbank.org/projects","Transactions","English","Day","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","Project","","","Data are organized around the concept of project with the project id being the key linking the project to related operational datasets such as contract awards, loans/credits/grants, trust funds, etc. ","Aid Effectiveness, World Bank Group Projects & Finances","Daily","Daily","Current","","API, Bulk download, Query tool","Projects & Operations (XML)=http://search.worldbank.org/api/projects/all.xml=xml;Projects & Operations (CSV)=http://search.worldbank.org/api/projects/all.csv=csv","1.0","Projects & Operations, The World Bank","","http://data.worldbank.org/data-catalog/projects-portfolio","1947 - Current","http://search.worldbank.org/api/v2/projects"
"58.0","International Debt Statistics: Summary and Country Tables","","Special summary tables present cross-country comparisons of key debt statistics and composition of total external debt stocks. ","http://data.worldbank.org/data-catalog/gdf-tables","Time series","English","Annual","EAP, ECA, LAC, MNA, SAS, SSA, LMY, IBRD, IDA","National;Regional","","129.0","","Economic Policy & External Debt","","","","data@worldbank.org","Query tool","","0.0","Global Development Finance, The World Bank","","http://data.worldbank.org/data-catalog/gdf-tables","",""
"59.0","AidFlows","","A new tool that allows users to visualize sources and uses of development funding, by country. AidFlows offers new transparency about the flow of development funds – from countries providing the resources to countries receiving these funds. Beyond global aid data, there is information about development funds flowing through multilaterals.  The World Bank and Asian Development Bank have windows on AidFlows for institution specific data on flows. The Inter-American Development Bank has joined the partnership, and AidFlows will soon go live with its window.","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Other;Regional","","210+","OECD data are at times are “preliminary” until updated for final annual numbers.","Aid Effectiveness","No fixed schedule","No fixed schedule","41506.0","data@worldbank.org","Query tool, Mobile app","","0.0","AidFlows, The World Bank, Asian Development Bank, OECD","","http://data.worldbank.org/data-catalog/aidflows","2002 - 2012",""
"61.0","World Integrated Trade Solution","WITS","WITS is a trade software tool giving access to bilateral trade, tariff and non-tariff measures between countries based on various product classifications, product details, years, and trade flows. It contains analysis tool to simulate effects of tariff reductions. It also provides information on preferential trade agreements (PTAs) around the world, including agreements that have not been notified to the WTO. ","https://wits.worldbank.org/WITS/WITS/Restricted/Login.aspx","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","219.0","Trade imports, exports, re-imports, re-exports, gross exports, gross imports, MFN tariff rates, bound tariff raters, preferential tariffs. Non-Tariff Measure data with new UNCTAD classification now available.","Economic Policy & External Debt","No fixed schedule","","Current","wits@worldbank.org","Query tool","","0.0","United Nations COMTRADE database, UNCTAD's TRAINS database, WTO's Integrated database (IDB), WTO's consolidated tariff schedules (CTS), World Bank and the Center for International Business, Tuck School of Business at Dartmouth College’s Global Preferential Trade Access Database (GPTAD)","","http://data.worldbank.org/data-catalog/wits","1962 - 2012",""
"62.0","Migration and Remittances Factbook 2011","","Migration and Remittances Factbook 2011 provides a snapshot of migration and remittances for all countries, regions and income groups of the world, compiled from available data from various sources.","http://go.worldbank.org/092X1CHHD0","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","210.0","Country tables contain data for migration and remittance related indicators for selected years. Excel files include data for inward and outward remittance flows from 1970 to 2010 and data are updated twice a year. The factbook is published every 2 to 3 years. ","Labor & Social Protection","Biannually","Every 2-3 years","October, 2011","data@worldbank.org","Query tool, Bulk download","Remittances inflows (Excel)=http://siteresources.worldbank.org/INTPROSPECTS/Resources/334934-1110315015165/RemittancesData_Inflows_Apr12(Public).xlsx=excel;Remittances outflows (Excel)=http://siteresources.worldbank.org/INTPROSPECTS/Resources/334934-1110315015165/RemittancesData_Outflows_Apr12(Public).xlsx=excel","0.0","Migration and Remittances Factbook 2011, The World Bank.","","http://data.worldbank.org/data-catalog/migration-and-remittances","2000 - 2010",""
"63.0","Quarterly Public Sector Debt","QPSD","The Quarterly Public Sector Debt (QPSD) database, jointly developed by the World Bank and the International Monetary Fund, brings together detailed public sector debt data of selected developing /emerging market and advanced countries. The PSD database, with the endorsement of the Inter-Agency Task Force on Finance Statistics (TFFS), was initially focused on developing/emerging market countries and now in partnership with OECD and Eurostat is being expanded to the advanced economies. The launch of the database is one of the recommendations in the G-20 Data Gaps Initiative. PSD database facilitates timely dissemination in standard formats of external debt data. By bringing such data and metadata together in one central location, the database supports macroeconomic analysis and cross-country comparison.   The database is organized into five sets of tables on the following sectors: General government; o/w Central government; o/w Budgetary central government; Nonfinancial public corporations and Financial public corporations and is structured by instruments, maturity and by creditors as the presentation format articulated in the table 4.3 in the IMF Public Sector Debt Guide. While central government is identified as the area where there is the most important key of macroeconomic analysis, the public sector debt database provides data on other levels of public sector, valuation methods and debt instruments, and clearly defined tiers of debt where appropriate for central, state and local government as well as extra-budgetary agencies and funds.","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=public-sector","Time series","English","Quarter","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","98.0","","Economic Policy & External Debt, Public Sector","Quarterly","January, April, July, October","41486.0","rdipplesman@imf.org, ilevent@worldbank.org, erucaj@worldbank.org","Bulk download, Query tool","QPSD (Excel)=http://go.worldbank.org/VRE8SLA9T0=excel","1.0","Public Sector Debt Statistics, The World Bank","","http://data.worldbank.org/data-catalog/quarterly-public-sector-debt","1995 - 2012","http://data.worldbank.org/developers"
"64.0","The Changing Wealth of Nations","","The Wealth of Nations dataset provides country level data on comprehensive wealth, adjusted net saving, and non-renewable resource rents indicators, as published in ""The Changing Wealth of Nations"" (2011). It presents a set of “comprehensive wealth accounts” for over 150 countries for 1995, 2000, and 2005, which allows a longer-term assessment of global, regional, and country performance in building wealth. ","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","150.0","Wealth estimates are calculated for 3 years: 1995, 2000, and 2005. Adjusted net saving and non-renewable resource rent indicators are calculated annually from 1970 to 2008. Please note that updated annual data for adjusted net saving and resource rents are available at http:// data.worldbank.org.","Agriculture & Rural Development, Environment, Financial Sector","No fixed schedule","","2010.0","","Bulk download","Wealth of Nations (XLS 655KB)=http://data.worldbank.org/sites/default/files/total_and_per_capita_wealth_of_nations.xls=excel;ANS current US$ (XLS 1.67MB)=http://data.worldbank.org/sites/default/files/adjusted_net_savings_in_us.xls=excel;ANS as pct. of GNI (XLS 1.55MB)=http://data.worldbank.org/sites/default/files/adjusted_net_savings_as_percent_of_gni_0.xls=excel;Rents (XLS 1.16MB)=http://data.worldbank.org/sites/default/files/subsoil_and_forest_rents.xls=excel","0.0","The Changing Wealth of Nations, The World Bank","","http://data.worldbank.org/data-catalog/wealth-of-nations","1995 - 2008",""
"65.0","East Asia and Pacific Economic Update","EAP","The East Asia and Pacific Economic Update is the comprehensive, twice-yearly review of the region’s economies prepared by the East Asia and Pacific region of the World Bank. The report provides forward-looking analysis of the region's economic and social well-being, and includes data on key indicators for output, employment, prices, public sector, foreign trade, BOP, external debt and financial markets. ","","Time series","English","Annual","EAP, LMY, IDA, IBRD","National","","12.0","Data for 2011 are estimated, and data for 2012 and 2013 are forecast.","Economic Policy & External Debt","Biannually","","May, 2012","","Bulk download","Key Indicators=http://data.worldbank.org/sites/default/files/data/eap-update-may-2012-key-indicators.xls=xls;Appendix Tables (PDF 206.5KB)=http://data.worldbank.org/sites/default/files/eap-update-may-2012-appendixes.pdf=pdf;Full Report (PDF 899.5KB)=http://data.worldbank.org/sites/default/files/eap-update-may-2012-full-report_1.pdf=pdf","0.0","East Asia and Pacific Economic Update, The World Bank","","http://data.worldbank.org/data-catalog/eap-economic-update","2007 - 2013",""
"66.0","Arab World Education Performance Indicators","AWEI","The Arab World Education Performance Indicators compiles data on education outcomes in 22 Arab States member countries in an aggregated and standardized manner. It allows users to compare the performance of each country along the following 6 important dimensions of education performance: access, equity, quality, efficiency, relevance, and Knowledge Economy readiness. ","http://go.worldbank.org/IJ32PVICB0","Time series","English","Annual","MNA, IBRD, HIC, SSA, LMY, IDA","National","","22.0","","Education","No further updates planned","","April, 2010","awei@worldbank.org","Query tool","","0.0","Arab World Education Indicators, The World Bank.","","http://data.worldbank.org/data-catalog/arab-world-education-indicators","2000 - 2009",""
"67.0","MIGA Project Portfolio","MIGA","The Multilateral Investment Guarantee Agency (MIGA) was created in 1988 as a member of the World Bank Group to promote foreign direct investment into emerging economies to support economic growth, reduce poverty, and improve people’s lives. MIGA fulfills this mandate by offering political risk insurance (guarantees) to investors and lenders, covering risks including expropriation, breach of contract, currency transfer restriction, war and civil disturbance, and non-honoring of sovereign financial obligations. ","https://www.miga.org/projects/index_sv.cfm","Time series","English","Day","SAS, LMY, IDA, ECA, IBRD, MNA, SSA, LAC, HIC, EAP","Project","","179.0","Data are available for all projects supported by MIGA since 1988.","World Bank Group Projects & Finances","Weekly","","Current","migainquiry@worldbank.org","Bulk download, Query tool","MIGA (XML)=https://www.miga.org/projects/xmladvsrchresult_sv.cfm=xml","0.0","Multilateral Investment Guarantee Agency - World Bank Group","","http://data.worldbank.org/data-catalog/miga-project","1988 - Current",""
"68.0","Mapping for Results","","Mapping for Results aims to visualize the locations of Bank activities and to provide access to information about indicators, sectors, funding, and results. The main objectives of the program are (i) to support the monitoring and reporting of results by providing users with an analytical tool to analyze and visualize the geographic location of Bank activities at the sub-national level; (ii) to improve aid effectiveness by enhanced transparency and accountability of donor-funded operations and (iii) to strengthen the participation of multiple stakeholders, including civil society organizations and citizen groups in the Bank’s work at the country level. ","http://maps.worldbank.org","Geospatial","English","","SAS, LMY, IDA, ECA, IBRD, MNA, SSA, LAC, EAP, HIC","Sub-national;Project","","81.0","Data on sector distribution, list of financed activities, and number/volume of active financed activities of Bank financed activities under all 12 “lending” product lines. Out of these activities, 1264 activities have been mapped by the Spring Meetings 2011 under the following product lines: IBRD/IDA, Global Environment Project, Special Financing, Montreal Protocol, GEF Medium Sized Programs, Guarantees, Debt Reduction Facility, and Carbon Offsets. More than 16,520 specific project locations are identified.","World Bank Group Projects & Finances","No fixed schedule","","40582.0","maps@worldbank.org","API, Query tool","","1.0","Mapping for Results, The World Bank","","http://data.worldbank.org/data-catalog/mapping-for-results","","http://data.worldbank.org/developers"
"69.0","Socio-Economic Database for Latin America and the Caribbean","SEDLAC","This web site includes statistics on poverty and other distributional and social variables from 25 Latin American and Caribbean (LAC) countries. All statistics are computed from microdata of the main household surveys carried out in these countries using a homogenous methodology (data permitting). SEDLAC allows users to monitor the trends in poverty and other distributional and social indicators in the region. The database is available in the form of brief reports, charts and electronic Excel tables with information for each country/year. In addition, the website visitor can carry out dynamic searches online. ","http://sedlac.econo.unlp.edu.ar/eng/dynamics-searches.php","Time series","English","Annual","LAC, IBRD, HIC, IDA, LMY","National","","25.0","In each period the sample of countries represents more than 97% of LAC total population. The database mainly covers the 1990s and 2000s, although we also present information for previous decades in a few countries. Statistics are updated periodically.","Poverty, Education, Infrastructure, Labor & Social Protection","Biannually","March, October","March, 2011","sedlac@cedlas.org","Query tool","","0.0","SEDLAC (CEDLAS and The World Bank) or ""Socio-Economic Database for Latin America and the Caribbean (CEDLAS and The World Bank)"". ","","http://data.worldbank.org/data-catalog/sedlac","1974 - 2010",""
"70.0","Landmine Contamination, Casualties and Clearance Database","LC3D","The Landmine Contamination, Casualties and Clearance provides country level data on a broad range of issues related to landmines and cluster munitions, including contamination, casualties and clearance, and their associated cost. The data was compiled from two sources: Landmine and Cluster Munition Monitor and annual surveys by the United Nations Mine Action Team (UNMAT). ","http://databank.worldbank.org/data/views/variableselection/selectvariables.aspx?source=landmine","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National;Regional","","202.0","","Labor & Social Protection, Social Development","No fixed schedule","","41502.0","kanye@worldbank.org","Query tool","LC3 dataset (638kb)=http://data.worldbank.org/sites/default/files/data/lc3d-dataset.xls=excel;LC3 dataset (591kb)=http://data.worldbank.org/sites/default/files/data/lc3d-dataset.csv=csv;Terminology (PDF 246KB)=http://databank.worldbank.org/data/download/Terminology.pdf=pdf","0.0","Landmine Contamination, Casualties and Clearance Database, The World Bank","","http://data.worldbank.org/data-catalog/landmine-database","1999 - 2009",""
"71.0","World Development Report 2011","WDR2011","As a follow up to the official launch of the 2011 World Development Report on Conflict, Security and Development (WDR 2011), the WDR 2011 database has been launched. The database includes statistics related to civil war, terrorism, and trafficking, as well as socio-economic, demographic and political data. It is a collection of diverse data from multi sources into a single easily navigable depository. The database is a basic research tool for academics and practitioners which brings together diverse indicators relevant to conflict, security and development. ","","Time series","English","Annual","WLD, EAP, ECA, LAC, MNA, SAS, SSA, HIC, LMY, IBRD, IDA","National","","211.0","The data in this database are taken from public sources.","Labor & Social Protection, Public Sector, Social Development","Annually","November","November, 2010","kanye@worldbank.org","Bulk download","WDR2011 Dataset (XLSX 6.24MB)=http://databank.worldbank.org/data/download/WDR2011 Dataset.xlsx=excel;WDR2011 Dataset (CSV 2.95MB)=http://databank.worldbank.org/data/download/WDR2011 Dataset.csv=csv;WDR2011 Codebook (PDF 344KB)=http://databank.worldbank.org/data/download/WDR2011 CodeBook.pdf","0.0","World Development Report 2011, The World Bank ","","http://data.worldbank.org/data-catalog/wdr2011","1960 - 2009",""
